name,name_citation,type,type_citation,space_category,space_category_citation,relevance_explanation,relevance_explanation_citation,confidence_rating,confidence_rating_citation,status,status_citation,campus,campus_citation,website_url,website_url_citation
Rutgers Rocket Propulsion Lab (RRPL),https://aiaa.rutgers.edu/RPL/,Student Team/Lab,https://aiaa.rutgers.edu/RPL/,Rockets,https://aiaa.rutgers.edu/RPL/,"Student-led team focusing on advancing high-powered rocketry technologies, competing in ESRA Spaceport America Cup",https://aiaa.rutgers.edu/RPL/,Direct,https://aiaa.rutgers.edu/RPL/,active,https://aiaa.rutgers.edu/RPL/,New Brunswick,https://aiaa.rutgers.edu/RPL/,https://aiaa.rutgers.edu/RPL/,https://aiaa.rutgers.edu/RPL/
Rutgers Astronomical Society,https://ras.physics.rutgers.edu/,Club,https://ras.physics.rutgers.edu/,Astronomy,https://ras.physics.rutgers.edu/,"Uniting those fascinated with space, discussing and observing the cosmos, hosting public observing nights",https://ras.physics.rutgers.edu/,Direct,https://ras.physics.rutgers.edu/,active,https://ras.physics.rutgers.edu/,New Brunswick,https://ras.physics.rutgers.edu/,https://ras.physics.rutgers.edu/,https://ras.physics.rutgers.edu/
American Institute of Aeronautics and Astronautics (AIAA) - Rutgers Chapter,https://soe.rutgers.edu/student-experience/student-organizations,Organization,https://soe.rutgers.edu/student-experience/student-organizations,Aerospace,https://soe.rutgers.edu/student-experience/student-organizations,Professional society chapter focused on aeronautics and astronautics,https://soe.rutgers.edu/student-experience/student-organizations,Direct,https://soe.rutgers.edu/student-experience/student-organizations,active,https://soe.rutgers.edu/student-experience/student-organizations,New Brunswick,https://soe.rutgers.edu/student-experience/student-organizations,https://aiaa.rutgers.edu/,https://soe.rutgers.edu/student-experience/student-organizations
Space Technology Association of Rutgers (STAR),https://njsgc.rutgers.edu/njsgc-programs/higher-education,Club,https://njsgc.rutgers.edu/njsgc-programs/higher-education,Rockets,https://njsgc.rutgers.edu/njsgc-programs/higher-education,"Student-led chapter of SEDS (Students for the Exploration and Development of Space), enables students to build rockets",https://njsgc.rutgers.edu/njsgc-programs/higher-education,Direct,https://njsgc.rutgers.edu/njsgc-programs/higher-education,active,https://njsgc.rutgers.edu/njsgc-programs/higher-education,New Brunswick,https://njsgc.rutgers.edu/njsgc-programs/higher-education,http://star.physics.rutgers.edu/,https://njsgc.rutgers.edu/njsgc-programs/higher-education
SPACE Lab (Space Propulsion with Advanced Chemistry and Energetics Lab),https://soe.rutgers.edu/news/lab-report-advancing-spaceflight-and-aerospace-propulsion,Lab,https://soe.rutgers.edu/news/lab-report-advancing-spaceflight-and-aerospace-propulsion,Propulsion,https://soe.rutgers.edu/news/lab-report-advancing-spaceflight-and-aerospace-propulsion,"Research lab dedicated to advancing spaceflight and aerospace propulsion, exploring spacecraft and rocket propulsion, propellants and energetics",https://soe.rutgers.edu/news/lab-report-advancing-spaceflight-and-aerospace-propulsion,Direct,https://soe.rutgers.edu/news/lab-report-advancing-spaceflight-and-aerospace-propulsion,active,https://soe.rutgers.edu/news/lab-report-advancing-spaceflight-and-aerospace-propulsion,New Brunswick,https://soe.rutgers.edu/news/lab-report-advancing-spaceflight-and-aerospace-propulsion,https://sites.rutgers.edu/space-lab/,https://soe.rutgers.edu/news/lab-report-advancing-spaceflight-and-aerospace-propulsion
New Jersey Space Grant Consortium (NJSGC),https://njsgc.rutgers.edu/,Program,https://njsgc.rutgers.edu/,Space Education,https://njsgc.rutgers.edu/,"NASA's educational arm in New Jersey for higher education, supporting rocketry, ballooning, CubeSat programs, and aerospace research",https://njsgc.rutgers.edu/,Direct,https://njsgc.rutgers.edu/,active,https://njsgc.rutgers.edu/,New Brunswick,https://njsgc.rutgers.edu/,https://njsgc.rutgers.edu/,https://njsgc.rutgers.edu/
RUAirborne,https://aiaa.rutgers.edu/ruairborne.html,Club,https://aiaa.rutgers.edu/ruairborne.html,Aerospace,https://aiaa.rutgers.edu/ruairborne.html,"Competes in AIAA Design-Build-Fly Competition, researches aircraft design using computational fluid dynamics",https://aiaa.rutgers.edu/ruairborne.html,Direct,https://aiaa.rutgers.edu/ruairborne.html,active,https://aiaa.rutgers.edu/ruairborne.html,New Brunswick,https://aiaa.rutgers.edu/ruairborne.html,https://aiaa.rutgers.edu/ruairborne.html,https://aiaa.rutgers.edu/ruairborne.html
RUAutonomous,https://aiaa.rutgers.edu/ruautonomous.html,Club,https://aiaa.rutgers.edu/ruautonomous.html,Aerospace,https://aiaa.rutgers.edu/ruautonomous.html,Competes in AUVSI SUAS competition involving autonomous aerial systems for search and rescue operations,https://aiaa.rutgers.edu/ruautonomous.html,Direct,https://aiaa.rutgers.edu/ruautonomous.html,active,https://aiaa.rutgers.edu/ruautonomous.html,New Brunswick,https://aiaa.rutgers.edu/ruautonomous.html,https://aiaa.rutgers.edu/ruautonomous.html,https://aiaa.rutgers.edu/ruautonomous.html
RU Pilots,https://aiaa.rutgers.edu/rupilots.html,Club,https://aiaa.rutgers.edu/rupilots.html,Aviation,https://aiaa.rutgers.edu/rupilots.html,"Aviation training club teaching aerodynamics, navigation, and flight simulation",https://aiaa.rutgers.edu/rupilots.html,Strongly Adjacent,https://aiaa.rutgers.edu/rupilots.html,active,https://aiaa.rutgers.edu/rupilots.html,New Brunswick,https://aiaa.rutgers.edu/rupilots.html,https://aiaa.rutgers.edu/rupilots.html,https://aiaa.rutgers.edu/rupilots.html
Society of Physics Students (Rutgers Chapter),https://sps.physics.rutgers.edu/,Organization,https://sps.physics.rutgers.edu/,Physics,https://sps.physics.rutgers.edu/,"Physics student organization within Department of Physics and Astronomy, supporting physics education and community",https://sps.physics.rutgers.edu/,Strongly Adjacent,https://sps.physics.rutgers.edu/,active,https://sps.physics.rutgers.edu/,New Brunswick,https://sps.physics.rutgers.edu/,https://sps.physics.rutgers.edu/,https://sps.physics.rutgers.edu/
Department of Physics and Astronomy - Astrophysics Research Group,https://www.physics.rutgers.edu/homes-groups.html,Research Group,https://www.physics.rutgers.edu/homes-groups.html,Astrophysics,https://www.physics.rutgers.edu/homes-groups.html,"Faculty and students pursuing observational and theoretical astrophysics programs studying galaxies, dark matter, cosmic structure",https://www.physics.rutgers.edu/homes-groups.html,Direct,https://www.physics.rutgers.edu/homes-groups.html,active,https://www.physics.rutgers.edu/homes-groups.html,New Brunswick,https://www.physics.rutgers.edu/homes-groups.html,https://physics.rutgers.edu/research/astrophysics/astronomy-research-overview,https://www.physics.rutgers.edu/homes-groups.html
Planetary Sciences Major Track,https://eps.rutgers.edu/academics/undergraduate-program/planetary-sciences-major-track,Program,https://eps.rutgers.edu/academics/undergraduate-program/planetary-sciences-major-track,Planetary Science,https://eps.rutgers.edu/academics/undergraduate-program/planetary-sciences-major-track,"Academic program focused on physical and geochemical processes in Solar System, planetary formation and evolution, prepares students for careers at NASA",https://eps.rutgers.edu/academics/undergraduate-program/planetary-sciences-major-track,Direct,https://eps.rutgers.edu/academics/undergraduate-program/planetary-sciences-major-track,active,https://eps.rutgers.edu/academics/undergraduate-program/planetary-sciences-major-track,New Brunswick,https://eps.rutgers.edu/academics/undergraduate-program/planetary-sciences-major-track,https://eps.rutgers.edu/academics/undergraduate-program/planetary-sciences-major-track,https://eps.rutgers.edu/academics/undergraduate-program/planetary-sciences-major-track
Tse Research Group (Combustion Research),https://combustion.rutgers.edu/,Lab,https://combustion.rutgers.edu/,Propulsion,https://combustion.rutgers.edu/,"Research group investigating combustion and propulsion, microgravity combustion processes relevant to spaceflight",https://combustion.rutgers.edu/,Direct,https://combustion.rutgers.edu/,active,https://combustion.rutgers.edu/,New Brunswick,https://combustion.rutgers.edu/,https://combustion.rutgers.edu/,https://combustion.rutgers.edu/
Emil Buehler Aerospace Lab,https://mae.rutgers.edu/emil-buehler-aerospace-lab,Lab,https://mae.rutgers.edu/emil-buehler-aerospace-lab,Aerospace,https://mae.rutgers.edu/emil-buehler-aerospace-lab,Two-story testing space for drones and aerospace projects with supersonic wind tunnel facility,https://mae.rutgers.edu/emil-buehler-aerospace-lab,Direct,https://mae.rutgers.edu/emil-buehler-aerospace-lab,active,https://mae.rutgers.edu/emil-buehler-aerospace-lab,New Brunswick,https://mae.rutgers.edu/emil-buehler-aerospace-lab,https://mae.rutgers.edu/emil-buehler-aerospace-lab,https://mae.rutgers.edu/emil-buehler-aerospace-lab
Gas Dynamics Research Lab (GDRL),https://mae.rutgers.edu/research/research-laboratories-and-facilities,Lab,https://mae.rutgers.edu/research/research-laboratories-and-facilities,Aerospace,https://mae.rutgers.edu/research/research-laboratories-and-facilities,Experimental resources focused on exploring high-speed aerodynamics using Emil Buehler Supersonic Wind Tunnel,https://mae.rutgers.edu/research/research-laboratories-and-facilities,Direct,https://mae.rutgers.edu/research/research-laboratories-and-facilities,active,https://mae.rutgers.edu/research/research-laboratories-and-facilities,New Brunswick,https://mae.rutgers.edu/research/research-laboratories-and-facilities,,
Promoting Electric Propulsion,https://soe.rutgers.edu/student-experience/student-organizations,Club,https://soe.rutgers.edu/student-experience/student-organizations,Propulsion,https://soe.rutgers.edu/student-experience/student-organizations,"Student organization focused on electric propulsion systems, recently chartered club",https://soe.rutgers.edu/student-experience/student-organizations,Strongly Adjacent,https://soe.rutgers.edu/student-experience/student-organizations,active,https://soe.rutgers.edu/student-experience/student-organizations,New Brunswick,https://soe.rutgers.edu/student-experience/student-organizations,,
Robert A. Schommer Astronomical Observatory,https://observatory.rutgers.edu/,Observatory/Facility,https://observatory.rutgers.edu/,Astronomy,https://observatory.rutgers.edu/,"Public observatory with 20-inch optical telescope hosting public viewing nights, used for astronomical observation and education",https://observatory.rutgers.edu/,Direct,https://observatory.rutgers.edu/,active,https://observatory.rutgers.edu/,New Brunswick,https://observatory.rutgers.edu/,https://observatory.rutgers.edu/,https://observatory.rutgers.edu/
REU Program - Physics and Astronomy,https://reu.physics.rutgers.edu/,Program,https://reu.physics.rutgers.edu/,Astrophysics,https://reu.physics.rutgers.edu/,NSF-funded Research Experiences for Undergraduates program in astronomy and astrophysics,https://reu.physics.rutgers.edu/,Direct,https://reu.physics.rutgers.edu/,active,https://reu.physics.rutgers.edu/,New Brunswick,https://reu.physics.rutgers.edu/,https://reu.physics.rutgers.edu/,https://reu.physics.rutgers.edu/
Meteorology Program,https://meteorology.rutgers.edu/,Program,https://meteorology.rutgers.edu/,Atmospheric Science,https://meteorology.rutgers.edu/,"Study of atmospheric processes including weather forecasting, radar evaluation, and atmospheric research using satellite data",https://meteorology.rutgers.edu/,Strongly Adjacent,https://meteorology.rutgers.edu/,active,https://meteorology.rutgers.edu/,New Brunswick,https://meteorology.rutgers.edu/,https://meteorology.rutgers.edu/,https://meteorology.rutgers.edu/
Atmospheric Science Group,https://sites.rutgers.edu/sebs-asg/,Research Group,https://sites.rutgers.edu/sebs-asg/,Atmospheric Science,https://sites.rutgers.edu/sebs-asg/,"Research group studying physical, chemical, and biological processes governing atmospheric composition and climate, includes satellite remote sensing",https://sites.rutgers.edu/sebs-asg/,Strongly Adjacent,https://sites.rutgers.edu/sebs-asg/,active,https://sites.rutgers.edu/sebs-asg/,New Brunswick,https://sites.rutgers.edu/sebs-asg/,https://sites.rutgers.edu/sebs-asg/,https://sites.rutgers.edu/sebs-asg/
RUCOOL (Rutgers Center for Ocean Observing Leadership),https://rucool.marine.rutgers.edu/data/satellites/,Lab/Center,https://rucool.marine.rutgers.edu/data/satellites/,Remote Sensing,https://rucool.marine.rutgers.edu/data/satellites/,"Operates satellite remote sensing systems for ocean observation, delivers real-time satellite imagery for marine and coastal research",https://rucool.marine.rutgers.edu/data/satellites/,Strongly Adjacent,https://rucool.marine.rutgers.edu/data/satellites/,active,https://rucool.marine.rutgers.edu/data/satellites/,New Brunswick,https://rucool.marine.rutgers.edu/data/satellites/,https://rucool.marine.rutgers.edu/,https://rucool.marine.rutgers.edu/data/satellites/
Center for Remote Sensing and Spatial Analysis (CRSSA),https://crssa.rutgers.edu/education/gradcert.html,Center,https://crssa.rutgers.edu/education/gradcert.html,Remote Sensing,https://crssa.rutgers.edu/education/gradcert.html,Uses satellite remote sensing and GIS technology for environmental and natural resource applications including Landsat satellite imagery analysis,https://crssa.rutgers.edu/education/gradcert.html,Strongly Adjacent,https://crssa.rutgers.edu/education/gradcert.html,active,https://crssa.rutgers.edu/education/gradcert.html,New Brunswick,https://crssa.rutgers.edu/education/gradcert.html,https://crssa.rutgers.edu/,https://crssa.rutgers.edu/education/gradcert.html
Materials Science and Engineering Department - Aerospace Materials Research,https://mse.rutgers.edu/student-experience,Research Group,https://mse.rutgers.edu/student-experience,Materials Science,https://mse.rutgers.edu/student-experience,"Research on ceramics, metals, polymers, and composites required in aerospace applications",https://mse.rutgers.edu/student-experience,Strongly Adjacent,https://mse.rutgers.edu/student-experience,active,https://mse.rutgers.edu/student-experience,New Brunswick,https://mse.rutgers.edu/student-experience,https://mse.rutgers.edu/,https://mse.rutgers.edu/student-experience
Department of Earth and Planetary Sciences,https://eps.rutgers.edu/,Department,https://eps.rutgers.edu/,Planetary Science,https://eps.rutgers.edu/,"Faculty and research focused on planetary sciences, studying Earth and other solar system bodies, planetary evolution and formation",https://eps.rutgers.edu/,Direct,https://eps.rutgers.edu/,active,https://eps.rutgers.edu/,New Brunswick,https://eps.rutgers.edu/,https://eps.rutgers.edu/,https://eps.rutgers.edu/
Quantum Science Master's Program,https://physics.rutgers.edu/quantum-science-masters-program,Program,https://physics.rutgers.edu/quantum-science-masters-program,Quantum Physics,https://physics.rutgers.edu/quantum-science-masters-program,"Graduate program in quantum science with applications to quantum computing and quantum materials, relevant to space-based quantum communications and sensors",https://physics.rutgers.edu/quantum-science-masters-program,Loosely Adjacent,https://physics.rutgers.edu/quantum-science-masters-program,active,https://physics.rutgers.edu/quantum-science-masters-program,New Brunswick,https://physics.rutgers.edu/quantum-science-masters-program,https://physics.rutgers.edu/quantum-science-masters-program,https://physics.rutgers.edu/quantum-science-masters-program
High Energy Physics Research Group,https://physics.rutgers.edu/research/high-energy-experiment,Research Group,https://physics.rutgers.edu/research/high-energy-experiment,Particle Physics,https://physics.rutgers.edu/research/high-energy-experiment,"Research on cosmic rays, particle detectors, and high-energy phenomena relevant to understanding space radiation and cosmic particle interactions",https://physics.rutgers.edu/research/high-energy-experiment,Loosely Adjacent,https://physics.rutgers.edu/research/high-energy-experiment,active,https://physics.rutgers.edu/research/high-energy-experiment,New Brunswick,https://physics.rutgers.edu/research/high-energy-experiment,https://www.physics.rutgers.edu/hex/,https://physics.rutgers.edu/research/high-energy-experiment
Cosmology and Dark Matter Research Group,https://www.physics.rutgers.edu/grad/690/,Research Group,https://www.physics.rutgers.edu/grad/690/,Cosmology,https://www.physics.rutgers.edu/grad/690/,"Faculty research on dark matter, dark energy, distant galaxies, cosmic microwave background, and large-scale structure of the universe",https://www.physics.rutgers.edu/grad/690/,Direct,https://www.physics.rutgers.edu/grad/690/,active,https://www.physics.rutgers.edu/grad/690/,New Brunswick,https://www.physics.rutgers.edu/grad/690/,,
NJSGC Outreach Program - Rutgers Newark,https://njsgc.rutgers.edu/sites/default/files/2021-04/njsgc-affiliate-meeting-2019.pdf,Program,https://njsgc.rutgers.edu/sites/default/files/2021-04/njsgc-affiliate-meeting-2019.pdf,Space Education,https://njsgc.rutgers.edu/sites/default/files/2021-04/njsgc-affiliate-meeting-2019.pdf,NASA New Jersey Space Grant Consortium outreach program at Rutgers Newark campus supporting STEM education and space-related activities,https://njsgc.rutgers.edu/sites/default/files/2021-04/njsgc-affiliate-meeting-2019.pdf,Direct,https://njsgc.rutgers.edu/sites/default/files/2021-04/njsgc-affiliate-meeting-2019.pdf,active,https://njsgc.rutgers.edu/sites/default/files/2021-04/njsgc-affiliate-meeting-2019.pdf,Newark,https://njsgc.rutgers.edu/sites/default/files/2021-04/njsgc-affiliate-meeting-2019.pdf,,