"Name","Type","Category","Relevance","Confidence","Direct Link"
"Terrapin Rocket Team (TerpRockets)","Student Design Team","Rockets","Designs and builds high-power rockets for Spaceport America Cup and IREC; has subsystems for propulsion, avionics, and structures.","Direct","https://www.terprockets.com/"
"Satellite Development Program (SatDev)","Student Design Team","Satellites","UMD's student-run spaceflight program; long-term goal to launch multiple CubeSats to orbit by 2030, all designed and built by students.","Direct","http://smallsats.umd.edu/"
"Near Space Balloon Payload Program (BPP)","Student Design Team","Space","Flies high-altitude balloons to >100k ft with student-designed scientific and engineering payloads; conducts 3-4 launches per semester.","Direct","https://bpp.umd.edu/"
"Students for the Exploration and Development of Space - UMD (SEDS@Maryland)","Student Org","Space","Project-based UMD chapter of the national SEDS organization; focuses on space mission design, analysis, and testing.","Direct","https://terplink.umd.edu/organization/sedsumd"
"American Institute of Aeronautics and Astronautics - UMD (AIAA)","Student Org","Aerospace","One of the largest and most active AIAA student branches on the East Coast; hosts aerospace speakers, field trips, and group projects.","Direct","https://aero.umd.edu/AIAA"
"Women in Aeronautics and Astronautics (WIAA)","Student Org","Aerospace","Fosters a professional and inclusive community for students in aeronautics and astronautics; supports technical and professional development and advocacy.","Direct","https://aero.umd.edu/undergraduate/current-students/student-groups/wiaa"
"Sigma Gamma Tau - UMD","Student Org / Honor Society","Aerospace","National aerospace engineering honor society chapter; recognizes excellence in the aerospace field among students, alumni, and professionals.","Strongly Adjacent","https://blog.umd.edu/umdsgt/"
"AstroTerps (Terrapin Astronomical Society)","Student Org","Astronomy","Undergraduate astronomy club affiliated with UMD's Department of Astronomy; runs outreach, observing sessions, and community events.","Direct","https://terplink.umd.edu/organization/astroterps"
"Astronomy Community Engagement (ACE)","Student / Grad Org","Astronomy","Student-led group within the UMD Department of Astronomy that facilitates community and access among undergraduate and graduate astronomy students.","Direct","https://www.astro.umd.edu/"
"Graduate Resources Advancing Diversity with Maryland Astronomy and Physics (GRAD-MAP)","Student / Grad Program","Astronomy","Graduate-level diversity program in UMD Astronomy and Physics; recruits and supports students in space science fields.","Strongly Adjacent","http://www.umdgradmap.org/"
"Robotics @ Maryland","Student Design Team","Robotics","Student-run robotics team competing in AUVSI and ONR's RoboSub competition; sponsored by the Maryland Robotics Center with aerospace-adjacent autonomous systems work.","Strongly Adjacent","http://ram.umd.edu"
"UMD Autonomous Micro Air Vehicle (AMAV) Team","Student Design Team","UAV / Avionics","Designs builds and flies multirotor VTOL aircraft for the VFS Design-Build-Vertical Flight competition; sponsored by the Maryland Robotics Center.","Direct","http://amav.umd.edu/"
"Maryland Unmanned Aerial Systems Team (MUAS)","Student Design Team","UAV / Avionics","Builds fixed-wing UAVs for the AUVSI Student UAS Competition; performs autonomous missions with obstacle avoidance and payload delivery.","Direct","https://aero.umd.edu/undergraduate/current-students/student-groups"
"Turbo Terps","Student Design Team","UAV / Avionics","Builds autonomous quadrotor UAVs for the IROS UAV Racing Competition; sponsored by the Maryland Robotics Center.","Direct","https://aero.umd.edu/undergraduate/current-students/student-groups"
"UMD Drone Racing Team","Student Design Team","UAV / Avionics","Participates in the MultiGP Global Drone Racing League and the Collegiate Drone Racing Association with student-built racing drones.","Direct","https://aero.umd.edu/undergraduate/current-students/student-groups"
"Space Systems Laboratory (SSL)","Research Lab","Space","Centers on a unique 50-ft diameter neutral buoyancy tank simulating microgravity; conducts research in space robotics, EVA simulation, and human factors for spaceflight.","Direct","https://ssl.umd.edu/"
"Space Power and Propulsion Laboratory (SPPL)","Research Lab","Propulsion","Dedicated to power generation, conversion, and propulsion technologies for space exploration; uses plasma sources and diagnostic tools for electric propulsion research.","Direct","https://sppl.umd.edu/"
"Advanced Propulsion Research Laboratory (APRL)","Research Lab","Propulsion","Conducts fundamental and applied research on high-speed combustion for gas turbines, ramjets, scramjets, rockets, and detonation engines.","Direct","https://aero.umd.edu/research/aprl"
"Planetary Surfaces and Spacecraft Lab (PSSL)","Research Lab","Planetary","Computational and experimental lab at the intersection of planetary science, plasma physics, granular mechanics, and spacecraft design.","Direct","http://hartzell.umd.edu"
"Strategic Space Sensing Lab","Research Lab","Space","Develops advanced sensing methodologies to discover, track, and characterize space objects for space situational awareness, planetary defense, and exploration.","Direct","https://tamz.umd.edu/"
"Machine Learning for Dynamical Systems Lab","Research Lab","Space","Investigates AI and astrodynamics at their intersection; designs ML models for next-generation spacecraft autonomy in complex dynamical environments.","Direct","https://martinastro.github.io/"
"High-Speed Aerodynamics and Propulsion Laboratory (HAPL)","Research Lab","Propulsion","Specializes in hypersonic boundary-layer transition, scramjet unstart, and shock-wave interactions; directly relevant to hypersonic vehicle and propulsion design.","Direct","http://www.hyper.umd.edu/"
"Alfred Gessow Rotorcraft Center (AGRC)","Research Center","Aerospace","One of only three Army/Navy/NASA-designated Vertical Lift Centers of Excellence in the US; conducts multidisciplinary rotorcraft research with direct aerospace-industry applications.","Strongly Adjacent","http://www.agrc.umd.edu/"
"Maryland Robotics Center","Research Center","Robotics","Interdisciplinary center with 26+ labs and 47 faculty; sponsors multiple student UAV and autonomous vehicle teams with space-adjacent autonomous systems research.","Strongly Adjacent","https://robotics.umd.edu/"
"UAS Research and Operations Center (UROC)","Research Center","UAV / Avionics","Leads UMD's FAA-designated UAS test site in St. Mary's County; at the forefront of UAS rulemaking, commercialization, and national airspace integration.","Direct","http://uroc.umd.edu"
"Fearless Flight Facility (F3)","Research Facility","UAV / Avionics","Only university outdoor UAS flight lab in the DC-Maryland-Virginia region; serves as a nexus for testing UAS vehicles tied to the UROC test site.","Strongly Adjacent","https://aero.umd.edu/research/fearless-flight-facility-f3"
"Institute for Research in Electronics and Applied Physics (IREAP)","Research Institute","Plasma","Joint CMNS/Engineering institute conducting research in high-temperature plasma physics, plasma spectroscopy, laser-plasma interactions, and charged particle beams; ranked 3rd nationally in plasma physics graduate programs.","Direct","https://ireap.umd.edu/"
"Center for Research and Exploration in Space Science & Technology II (CRESST II)","Research Center","Space","Joint UMD-NASA Goddard center employing ~100 scientists on space science projects spanning astrophysics and solar system exploration; major conduit for student research at GSFC.","Direct","https://www.astro.umd.edu/research/research-centers-collaborations/cresst-ii"
"Joint Space-Science Institute (JSI)","Research Partnership","Astronomy","UMD Astronomy/Physics and NASA Goddard partnership focused on black hole physics, high-energy astrophysics, plasma in accretion flows, and cosmology.","Direct","https://jsi.umd.edu/"
"Center for Theory and Computation (CTC)","Research Center","Astronomy","Umbrella program within UMD Astronomy for theoretical and computational astrophysics; maintains dedicated compute clusters for large-scale simulations.","Direct","https://www.astro.umd.edu/research/research-centers-collaborations/ctc"
"Partnership for Heliophysics and Space Environment Research - UMD node (PHaSER)","Research Partnership","Space","UMD College Park is a member of this $64M NASA-funded consortium supporting Goddard's Heliophysics Science Division; covers solar wind, space weather, and Earth magnetosphere.","Direct","https://www.astro.umd.edu/research/research-centers-collaborations/phaser"
"Small Bodies Node - NASA Planetary Data System","Research Center","Planetary","Hosted by UMD Department of Astronomy; serves as NASA's primary archiving and distribution hub for scientific data on asteroids, comets, and interplanetary dust.","Direct","https://www.astro.umd.edu/research/research-centers-collaborations/small-bodies-node"
"Earth System Science Interdisciplinary Center (ESSIC)","Research Center","Remote Sensing","Joint UMD-NASA Goddard center with a $95M cooperative agreement; ~200 scientists conducting Earth observation and satellite remote sensing research.","Direct","https://essic.umd.edu/"
"Cooperative Institute for Satellite Earth System Studies (CISESS)","Research Center","Remote Sensing","Administered by ESSIC; joint UMD-NOAA center conducting satellite research on weather and water forecasting with direct satellite instrument work.","Direct","https://essic.umd.edu/research/cisess/"
"Space and Plasma Physics Group (SPP) - Astronomy","Research Group","Plasma","Studies space plasmas from high-altitude lightning to supernovae shocks; major effort on solar-terrestrial physics with NASA/NSF/AFOSR funding and instruments on Earth-orbiting satellites.","Direct","https://spp.astro.umd.edu/"
"Space Physics Group - Physics","Research Group","Space","Designs and builds plasma and energetic particle instruments on satellites and deep-space probes; research focuses on in-situ space environment measurements.","Direct","https://www.umdphysics.umd.edu/research/research-areas/space-physics.html"
"Theoretical Plasma Group - Physics / IREAP","Research Group","Plasma","Studies complex nonlinear plasma behavior; closely tied to astrophysical plasma phenomena and space-relevant electromagnetic processes.","Direct","https://www.umdphysics.umd.edu/research/research-areas/plasma-theory.html"
"Extreme Astrophysical Plasmas Group","Research Group","Plasma","Theoretical astrophysics group studying relativistic plasmas around neutron stars and black holes; node of NSF's Multi-Messenger Plasma Physics Center (MPPC).","Direct","https://www.xtremeastroplasmas.com/"
"Geospatial Information Science & Remote Sensing Group - Geographical Sciences","Research Group","Remote Sensing","Develops and applies advanced remote sensing capabilities including satellite image analysis, sensor calibration and design, and geocomputing.","Direct","https://geog.umd.edu/research/geospatial-information-science-and-remote-sensing"
"Center for Geospatial Information Science (CGIS)","Research Center","Remote Sensing","Departmental center offering graduate programs in GIS and remote sensing; research links directly to satellite data processing and Earth observation applications.","Direct","https://geospatial.umd.edu/"
"International Center for Innovation in Geospatial Analytics & Earth Observation","Research Center","Remote Sensing","UMD Geographical Sciences center focused on geospatial analytics and Earth observation technology development.","Strongly Adjacent","https://geog.umd.edu/"
"Department of Astronomy - UMD","Departmental Program","Astronomy","Full research department covering high-energy astrophysics, planetary science, solar/space plasma physics, and cosmology; operates an on-campus observatory and has deep ties to NASA Goddard.","Direct","https://www.astro.umd.edu/"
"Department of Aerospace Engineering - UMD","Departmental Program","Aerospace","Offers specializations in space systems, propulsion, hypersonics, dynamics/control, and rotorcraft; houses most of the space-facing research labs listed in this table.","Direct","https://aero.umd.edu/"
"UMD Observatory","Research Facility","Astronomy","On-campus observatory with four fixed telescopes (7-20 inch aperture) and portable 8-inch scopes used for undergraduate research, courses, and public outreach.","Direct","https://www.astro.umd.edu/research/facilities/umd-observatory"
"--- POSSIBLE / NEEDS VERIFICATION ---","","","","",""
"UMDLoop / Maryland Boring","Student Design Team","Aerospace","Interdisciplinary student team competing in Elon Musk's Hyperloop and Not-a-Boring competitions; hyperloop propulsion and guidance systems overlap with aerospace/avionics.","Loosely Adjacent","http://www.umdloop.com/"
"Collective Dynamics and Control Laboratory (CDCL)","Research Lab","Robotics","Research in multi-vehicle control and autonomous vehicles; bio-inspired collective behavior applied to autonomous aerial and aquatic robots - space robotics adjacent.","Loosely Adjacent","http://cdcl.umd.edu"
"Society of Physics Students - UMD","Student Org","Astronomy","Physics undergraduate club; members frequently engage with astrophysics and space science seminars through the department's strong space-physics presence.","Loosely Adjacent","https://www.umdphysics.umd.edu/"
"Glenn L. Martin Wind Tunnel (GLMWT)","Research Facility","Aerospace","Subsonic wind tunnel operating since 1949; used for aerodynamic testing of aircraft and UAV models - adjacent infrastructure for aerospace propulsion and design.","Strongly Adjacent","https://windtunnel.umd.edu/"
"Composites Research Laboratory (CORE)","Research Lab","Aerospace","Research in composite materials and structures relevant to aerospace vehicle construction including lightweight structural components used in rockets and spacecraft.","Loosely Adjacent","https://aero.umd.edu/research/core"
"Film Cooling Research Laboratory","Research Lab","Propulsion","Studies film cooling physics for gas turbine and rocket engine components; directly supports thermal management in high-speed propulsion systems.","Strongly Adjacent","https://aero.umd.edu/research/film-cooling-lab"
"Maryland Center for Fundamental Physics (MCFP)","Research Center","Astronomy","Houses particle and nuclear physics research; overlaps with space physics through dark matter searches and high-energy particle astrophysics.","Loosely Adjacent","https://mcfp.physics.umd.edu/"
"Institute for Physical Science and Technology (IPST)","Research Institute","Plasma","Historically housed a major plasma physics group; current research spans fluid dynamics and applied physics with some overlap with space and plasma research.","Loosely Adjacent","https://ipst.umd.edu/"
